thread_label,parent_message_id,parent_timestamp,parent_reply_count,parent_text_preview,first_reply_message_id,first_reply_timestamp,first_reply_minutes,first_reply_gap_label
T026,16163,2026-03-03 18:52:52+00:00,1.0,"REPORTER: ""Did Israel force your hand to launch these strikes against Iran?"" PRESIDENT TRUMP: ""No... Based...",16164,2026-03-03 18:53:17+00:00,0.416667,0m
T027,74147,2026-03-30 11:33:55+00:00,1.0,"President Trump: The United States of America is in serious discussions with A NEW, AND MORE REASONABLE,...",74151,2026-03-30 12:11:01+00:00,37.1,37m
T028,74152,2026-03-30 12:36:41+00:00,1.0,"The European Union is the most corrupt, progressive, “woke” body - second only to the United Nations. It...",74159,2026-03-30 14:18:20+00:00,101.65,1.7h
T029,74211,2026-03-31 06:32:03+00:00,1.0,Alarms in Tel Aviv,74212,2026-03-31 06:42:44+00:00,10.683333,11m
T030,74217,2026-03-31 08:32:02+00:00,1.0,"Satellite imagery from Jun 9th, 2025 via Airbus/Bulletin, shows a truck at Iran’s Isfahan underground...",74222,2026-03-31 10:24:34+00:00,112.533333,1.9h
T031,74256,2026-03-31 19:36:16+00:00,1.0,The Wall Street Journal reports that the aircraft carrier USS George H.W. Bush is on its way to the Middle...,74261,2026-03-31 20:47:51+00:00,71.583333,1.2h
T032,74269,2026-03-31 22:02:33+00:00,1.0,IDF: The IDF struck a factory that systematically transferred chemical substances to the Iranian terror...,74848,2026-04-10 12:52:00+00:00,13849.45,9.6d
T033,74416,2026-04-03 23:00:24+00:00,1.0,This weekend can be assessed as the most difficult since the war began - both in the volume of launches...,74423,2026-04-04 03:23:43+00:00,263.316667,4.4h
T034,74528,2026-04-05 23:38:40+00:00,1.0,Unconfirmed Iranian reports about a targeted elimination that took place earlier in the region of the city...,74529,2026-04-06 00:43:49+00:00,65.15,1.1h
T035,74630,2026-04-07 17:32:06+00:00,1.0,"Don’t hold your breath: Minutes before 8 PM Eastern Time, expect a “major breakthrough” in the talks-or...",74652,2026-04-07 20:59:31+00:00,207.416667,3.5h
T036,74653,2026-04-07 21:17:36+00:00,1.0,"If a ceasefire is reached in the next three hours, there are no winners in this war. ▪️ The IRGC has lost...",74663,2026-04-07 22:42:46+00:00,85.166667,1.4h
T084,75089,2026-04-16 12:13:02+00:00,1.0,War Secretary Hegseth: To the Iranian military and the IRGC: we know what military assets you are moving...,75100,2026-04-16 12:39:04+00:00,26.033333,26m
T095,75144,2026-04-17 13:44:39+00:00,1.0,"President Trump: THE STRAIT OF HORMUZ IS COMPLETELY OPEN AND READY FOR BUSINESS AND FULL PASSAGE, BUT THE...",75150,2026-04-17 14:00:48+00:00,16.15,16m
T037,184779,2026-04-10 05:59:43+00:00,1.0,A Hezbollah rocket hit a house in the Misgav Am settlement. @PressTV,184781,2026-04-10 06:32:30+00:00,32.783333,33m
T038,184795,2026-04-10 08:43:28+00:00,1.0,"Heavy Israeli airstrike causes widespread destruction in Shahabiyeh, southern Lebanon. @PressTV",184799,2026-04-10 09:33:07+00:00,49.65,50m
T015,184805,2026-04-10 10:32:06+00:00,2.0,"A funeral ceremony is underway at Tehran's Grand Mosalla for Seyyed Kamal Kharazi, former Iranian FM @PressTV",184810,2026-04-10 11:06:48+00:00,34.7,35m
T039,184815,2026-04-10 11:36:44+00:00,1.0,Iran's Deputy Foreign Minister Takht-Ravanchi: 🔺 Iran’s ten-point proposal has been agreed as the basis for...,184844,2026-04-10 14:35:08+00:00,178.4,3.0h
T009,184824,2026-04-10 12:22:03+00:00,1.0,"🔴 Hezbollah chief praises bravery, steadfastness of resistance fighters in letter to nation 🔺 Naim Qassem:...",184839,2026-04-10 13:51:10+00:00,89.116667,1.5h
T040,184834,2026-04-10 13:14:40+00:00,1.0,🔴 Senior security source to Press TV: Iran forced Israel to halt Beirut attacks 🔺 A senior security source...,184835,2026-04-10 13:15:09+00:00,0.483333,0m
T016,184836,2026-04-10 13:27:19+00:00,2.0,Iran forced Israel to halt attacks on Beirut by threatening to withdraw from talks with US: Source to Press...,184837,2026-04-10 13:30:35+00:00,3.266667,3m
