hour,message_count,replied_message_count,mean_reply_count,reply_rate_pct
0,152,1,0.007,0.7
1,130,0,0.0,0.0
2,90,2,0.022,2.2
3,104,1,0.01,1.0
4,126,2,0.016,1.6
5,123,3,0.049,2.4
6,168,6,0.036,3.6
7,145,4,0.028,2.8
8,289,4,0.014,1.4
9,250,3,0.012,1.2
10,310,6,0.026,1.9
11,382,8,0.024,2.1
12,372,7,0.024,1.9
13,370,13,0.041,3.5
14,400,7,0.032,1.8
15,343,7,0.023,2.0
16,334,4,0.015,1.2
17,337,8,0.027,2.4
18,299,2,0.007,0.7
19,289,6,0.028,2.1
20,284,2,0.011,0.7
21,295,6,0.024,2.0
22,211,4,0.019,1.9
23,197,10,0.056,5.1
