thread_label,message_id,timestamp,reply_count,message_depth,thread_size,thread_depth,has_media,text_preview
T001,185302,2026-04-13 14:41:17+00:00,7,0,9,2,True,"The Handala hacking group announced that it carried out a large-scale retaliatory cyber operation,..."
T002,185401,2026-04-14 05:25:41+00:00,3,1,7,3,False,WATCH: Simulated video of Press TV investigation exposing the failure of US destroyers' Strait of Hormuz...
T015,184805,2026-04-10 10:32:06+00:00,2,0,3,1,False,"A funeral ceremony is underway at Tehran's Grand Mosalla for Seyyed Kamal Kharazi, former Iranian FM @PressTV"
T016,184836,2026-04-10 13:27:19+00:00,2,0,3,1,True,Iran forced Israel to halt attacks on Beirut by threatening to withdraw from talks with US: Source to Press...
T017,184891,2026-04-10 19:52:02+00:00,2,0,3,1,False,Iran's negotiating team led by Parliament Speaker Mohammad Baqer Qalibaf arrives in Islamabad @PressTV
T018,184893,2026-04-10 20:25:09+00:00,2,0,3,1,True,"Hezbollah Secretary-General Sheikh Naim Qassem hails Iran’s ‘huge victory’ against US, Israel @PressTV"
T019,185003,2026-04-11 15:20:48+00:00,2,0,3,1,True,"📸 Iran's Foreign Ministry spokesman says that while US authorities accuse Iran of lacking “good faith”, US..."
T005,185028,2026-04-11 17:40:01+00:00,2,1,4,2,True,Nizar Amedi elected Iraq’s new president after disputed parliamentary vote Iraq has elected the main...
T006,185055,2026-04-11 21:15:10+00:00,2,0,4,2,True,📸 Iran's Islamic Revolution Guards Corps (IRGC) issues a statement strongly denying the claims about the...
T007,185064,2026-04-11 23:15:08+00:00,2,0,4,2,False,"▶️ Several homes destroyed following Israeli airstrikes on the town of Qana, southern Lebanon. @PressTV"
T020,185135,2026-04-12 10:48:13+00:00,2,0,3,1,True,🔺 Documents obtained in a Press TV investigation — to be published soon — will expose yet another major...
T021,185151,2026-04-12 12:23:11+00:00,2,0,3,1,True,"👉 Press TV Exclusive: US destroyers' Strait of Hormuz transit stunt failed, came close to destruction 🔺The..."
T008,185290,2026-04-13 13:02:56+00:00,2,0,4,2,True,"🔴 A fresh rocket barrage was fired from Lebanon, setting off air-raid sirens in Nahariya, nearby areas, and..."
T022,185403,2026-04-14 05:45:02+00:00,2,0,3,1,True,🔴 Iran FM denounces US destructive interference in West Asia in phone conversation with Omani counterpart...
T023,185617,2026-04-15 16:52:25+00:00,2,0,3,1,True,▶️ Iran's Foreign Minister Seyyed Abbas Araghchi holds talks with Pakistan's Chief of Army Staff Field...
T002,185917,2026-04-17 11:42:01+00:00,2,2,7,3,True,Exclusive: IRGC locked 16 cruise missiles on US warships in Strait of Hormuz before they retreated 🔹In new...
T024,185925,2026-04-17 12:50:25+00:00,2,0,3,1,True,📸 Iran's Foreign Minister Seyyed Abbas Araghchi says passage for all commercial vessels through the Strait...
T025,185986,2026-04-17 19:47:27+00:00,2,0,3,1,True,🔴 Foreign Ministry spokesperson: US authorities making contradictory statements on Strait of Hormuz out of...
T026,16163,2026-03-03 18:52:52+00:00,1,0,2,1,False,"REPORTER: ""Did Israel force your hand to launch these strikes against Iran?"" PRESIDENT TRUMP: ""No... Based..."
T027,74147,2026-03-30 11:33:55+00:00,1,0,2,1,True,"President Trump: The United States of America is in serious discussions with A NEW, AND MORE REASONABLE,..."
