period_half,dominant_frame,message_count,share_pct
First Half,Fear / Threat,29,3.8
First Half,Us-vs-Them / Othering,18,2.4
First Half,Call to Action,37,4.9
First Half,Victimhood / Injustice,1,0.1
First Half,Authority Appeal,17,2.3
First Half,Factual / Neutral,1,0.1
First Half,Conspiracy / Suspicion,7,0.9
First Half,Triumphalism / Strength,7,0.9
First Half,Mixed / Ambiguous,637,84.5
Second Half,Fear / Threat,207,4.8
Second Half,Us-vs-Them / Othering,71,1.6
Second Half,Call to Action,207,4.8
Second Half,Victimhood / Injustice,18,0.4
Second Half,Authority Appeal,144,3.3
Second Half,Factual / Neutral,1,0.0
Second Half,Conspiracy / Suspicion,40,0.9
Second Half,Triumphalism / Strength,59,1.4
Second Half,Mixed / Ambiguous,3596,82.8
