topic_label,timestamp,cluster_probability,message_preview
Noise / Mixed,2026-04-10 01:34:49+00:00,0.0,A powerful message from Makram Rabah- assistant professor of history in the American University...
Noise / Mixed,2026-04-13 07:53:12+00:00,0.0,"An Iranian Telegram channel gives us a glimpse into life in Tehran, after more than 40 days of..."
Noise / Mixed,2026-03-28 21:01:28+00:00,0.0,"In the 1960s the KGB founded several liberation fronts to oppose democracies and capitalism, such..."
"Topic 0: today stories, stories, stories today",2026-03-28 15:54:54+00:00,1.0,Here are today's top stories on Telegram: https://youtube.com/shorts/hk3gaYp_FLc
"Topic 0: today stories, stories, stories today",2026-04-11 15:37:58+00:00,1.0,Here are today's top stories on Telegram https://youtube.com/shorts/FgUrzCElVW4
...,...,...,...
"Topic 89: lebanon, israel, lebanese",2026-04-14 03:34:54+00:00,1.0,US Secretary of State Rubio will lead today the meeting between the Israeli and Lebanese...
"Topic 89: lebanon, israel, lebanese",2026-04-14 18:12:49+00:00,1.0,"Israel, Lebanon Hold First Talks in Over 30 Years In a truly historic moment, Israel and Lebanon..."
"Topic 90: trump, lebanon, president",2026-04-16 16:02:30+00:00,1.0,🇮🇱🇱🇧🇺🇸 BREAKING: Trump Announces 10 Day Ceasefire Between Israel And Lebanon President Donald J....
"Topic 90: trump, lebanon, president",2026-04-16 16:36:24+00:00,1.0,President Trump: I just had excellent conversations with the Highly Respected President Joseph...
"Topic 90: trump, lebanon, president",2026-02-04 19:38:46+00:00,1.0,"Amid reports negotiations collapsing, Trump says Iran's Khamenei 'should be very worried' Rubio..."
