spike_rank,timestamp,date,hour,day_of_week,day_name,message_count,media_count,text_only_count,media_pct,representative_message_id,representative_text,representative_preview,timestamp_label,candidate_label
1,2026-04-08 17:00:00+00:00,2026-04-08 00:00:00+00:00,17,2,Wednesday,18,16,2,88.9,184490,"✍️ Feature - Leader's 40th day of martyrdom seals US defeat: A look at his 37-year illustrious legacy

From seminary to battlefield, presidency to Leadership, Ayatollah Seyyed Ali Khamenei steered Ira",✍️ Feature - Leader's 40th day of martyrdom seals US defeat: A look at his 37-year illustrious...,2026-04-08 17:00 UTC,2026-04-08 17:00 UTC — ✍️ Feature - Leader's 40th day of martyrdom seals US defeat: A look at his 37-year illustrious...
2,2026-04-07 14:00:00+00:00,2026-04-07 00:00:00+00:00,14,1,Tuesday,18,14,4,77.8,184285,"Iran successfully destroys 5 Tomahawk missiles and one cruise missile in Qazvin province.

IRGC Public Relations: A few hours ago, five Tomahawk missiles and one cruise missile were destroyed in the s",Iran successfully destroys 5 Tomahawk missiles and one cruise missile in Qazvin province. IRGC...,2026-04-07 14:00 UTC,2026-04-07 14:00 UTC — Iran successfully destroys 5 Tomahawk missiles and one cruise missile in Qazvin province. IRGC...
3,2026-04-13 15:00:00+00:00,2026-04-13 00:00:00+00:00,15,0,Monday,16,15,1,93.8,185304,"🔴 Boroujerdi, a member of Commission on National Security and Foreign Policy:

🔺 If the US truly intended to confront Iran, it would not be withdrawing its carriers from the region out of fear of Iran","🔴 Boroujerdi, a member of Commission on National Security and Foreign Policy: 🔺 If the US truly...",2026-04-13 15:00 UTC,"2026-04-13 15:00 UTC — 🔴 Boroujerdi, a member of Commission on National Security and Foreign Policy: 🔺 If the US truly..."
4,2026-04-08 14:00:00+00:00,2026-04-08 00:00:00+00:00,14,2,Wednesday,16,14,2,87.5,184458,"📸 Iran's Foreign Minister Seyyed Abbas Araghchi has held a phone conversation with Pakistan's Army Chief of Staff Field Marshal Syed Asim Munir.

🔹 Abbas Araghchi hailed the constructive role of Pakis",📸 Iran's Foreign Minister Seyyed Abbas Araghchi has held a phone conversation with Pakistan's...,2026-04-08 14:00 UTC,2026-04-08 14:00 UTC — 📸 Iran's Foreign Minister Seyyed Abbas Araghchi has held a phone conversation with Pakistan's...
5,2026-04-13 12:00:00+00:00,2026-04-13 00:00:00+00:00,12,0,Monday,16,13,3,81.2,185274,"Tehran police arrested a suspect in a raid after receiving reports of illegal weapons storage in the eastern part of the city, seizing a large cache of firearms, grenades, and military-grade ammunitio",Tehran police arrested a suspect in a raid after receiving reports of illegal weapons storage in...,2026-04-13 12:00 UTC,2026-04-13 12:00 UTC — Tehran police arrested a suspect in a raid after receiving reports of illegal weapons storage in...
6,2026-04-09 23:00:00+00:00,2026-04-09 00:00:00+00:00,23,3,Thursday,16,12,4,75.0,184721,"🇮🇩 Good news for viewers in Indonesia — Press TV is now available via satellite!

Satellite: Merah Putih (Telkom-4) @ 108°E
Frequency: 3721 MHz
Polarization: Horizontal (H)
Symbol Rate: 32727 ksps

@P",🇮🇩 Good news for viewers in Indonesia — Press TV is now available via satellite! Satellite: Merah...,2026-04-09 23:00 UTC,2026-04-09 23:00 UTC — 🇮🇩 Good news for viewers in Indonesia — Press TV is now available via satellite! Satellite: Merah...
7,2026-04-09 22:00:00+00:00,2026-04-09 00:00:00+00:00,22,3,Thursday,15,14,1,93.3,184705,"📸 Iran's President Pezeshkian holds a phone call with Turkish President Erdoğan.

🔹 President Pezeshkian says Iran's approach for accepting the ceasefire is the basis for regional stability. 

🔹 Presi",📸 Iran's President Pezeshkian holds a phone call with Turkish President Erdoğan. 🔹 President...,2026-04-09 22:00 UTC,2026-04-09 22:00 UTC — 📸 Iran's President Pezeshkian holds a phone call with Turkish President Erdoğan. 🔹 President...
8,2026-04-09 02:00:00+00:00,2026-04-09 00:00:00+00:00,2,3,Thursday,15,13,2,86.7,184565,"Hezbollah returns fire with fire; vows to sustain strikes until US-Israeli aggression ends

Lebanon's Hezbollah resistance movement has unleashed a rocket barrage towards an illegal settlement lying o",Hezbollah returns fire with fire; vows to sustain strikes until US-Israeli aggression ends...,2026-04-09 02:00 UTC,2026-04-09 02:00 UTC — Hezbollah returns fire with fire; vows to sustain strikes until US-Israeli aggression ends...
9,2026-04-10 16:00:00+00:00,2026-04-10 00:00:00+00:00,16,4,Friday,15,11,4,73.3,184853,"No talks with US without Lebanon ceasefire and unfrozen assets: Qalibaf 

Iranian Parliament Speaker Mohammad Baqer Qalibaf says a ceasefire in Lebanon and the release of Iran’s blocked assets are req",No talks with US without Lebanon ceasefire and unfrozen assets: Qalibaf Iranian Parliament...,2026-04-10 16:00 UTC,2026-04-10 16:00 UTC — No talks with US without Lebanon ceasefire and unfrozen assets: Qalibaf Iranian Parliament...
10,2026-04-10 04:00:00+00:00,2026-04-10 00:00:00+00:00,4,4,Friday,14,12,2,85.7,184766,"Hezbollah Resistance: 

In defense of Lebanon and its people, Islamic Resistance fighters targeted a gathering of Israeli enemy troops at Wata al-Khiyam area with a rocket barrage at 11:00 p.m. on Thu","Hezbollah Resistance: In defense of Lebanon and its people, Islamic Resistance fighters targeted...",2026-04-10 04:00 UTC,"2026-04-10 04:00 UTC — Hezbollah Resistance: In defense of Lebanon and its people, Islamic Resistance fighters targeted..."
