bigram,status,first_rank,second_rank,first_pmi,second_pmi,first_frequency,second_frequency
mehdi fazaeli,new,,1,,11.307959722909436,,3
nasir kazmi,new,,2,,11.307959722909436,,3
khatam anbiya,new,,4,,10.892922223630592,,4
max blumenthal,new,,5,,10.892922223630592,,4
nouri hamedani,new,,6,,10.892922223630592,,4
saudi arabia,new,,7,,10.892922223630592,,3
nizar amedi,new,,8,,10.892922223630592,,3
white house,new,,9,,10.892922223630592,,3
intl law,new,,11,,10.57099412874323,,3
aqsa mosque,new,,12,,10.57099412874323,,3
akbar velayati,new,,15,,10.249066033855868,,4
west asia,new,,16,,10.249066033855868,,4
sheikh naim,new,,17,,10.044925317075641,,5
attempt sail,new,,19,,9.892922223630592,,4
military's attempt,new,,20,,9.892922223630592,,4
abbas araghchi,new,,22,,9.72299722218828,,7
nationwide nightly,new,,24,,9.72299722218828,,5
truce breach,new,,25,,9.72299722218828,,4
red lines,new,,27,,9.72299722218828,,3
tv's correspondent,new,,28,,9.57099412874323,,3
stand firm,new,,29,,9.57099412874323,,3
damage caused,new,,30,,9.500604800851832,,4
high stakes,new,,31,,9.433490604993295,,4
high ranking,new,,32,,9.433490604993295,,3
anbiya central,new,,33,,9.307959722909436,,4
senior advisor,new,,34,,9.307959722909436,,4
central headquarters,new,,35,,9.307959722909436,,3
expert teams,new,,36,,9.307959722909436,,3
leader's office,new,,37,,9.307959722909436,,3
political commentator,new,,38,,9.307959722909436,,3
regional stability,new,,39,,9.307959722909436,,3
national interests,new,,40,,9.307959722909436,,3
transit corridor,new,,41,,9.307959722909436,,3
negotiating team,new,,42,,9.307959722909434,,5
nightly rallies,new,,44,,9.237570395018036,,5
brigadier general,new,,45,,9.1924825054895,,6
anti ship,new,,46,,9.155956629464384,,3
velayati senior,new,,47,,9.155956629464384,,3
gas prices,new,,48,,9.138034721467124,,4
hezbollah's operations,new,,49,,9.138034721467124,,4
excessive demands,new,,50,,9.111562510105932,,4
isfahan's naghsh,dropped,1,,11.377029730207742,,3,
moeen amini,dropped,2,,11.377029730207742,,3,
naghsh jahan,dropped,3,,11.377029730207742,,3,
eternal dominance,dropped,5,,11.377029730207742,,3,
maryam azarchehr,dropped,6,,10.961992230928898,,4,
true promise,dropped,7,,10.961992230928898,,4,
rockets fired,dropped,10,,10.640064136041534,,4,
pilot rescue,dropped,11,,10.640064136041534,,4,
funeral procession,dropped,12,,10.640064136041534,,3,
sirens sound,dropped,13,,10.640064136041534,,3,
rescue mission,dropped,17,,10.318136041154172,,4,
issues statement,dropped,18,,10.225026636762692,,3,
lavan island,dropped,19,,10.225026636762692,,3,
obtained regarding,dropped,20,,10.225026636762692,,3,
never abandon,dropped,21,,10.225026636762692,,3,
information obtained,dropped,24,,9.90309854187533,,3,
residential building,dropped,25,,9.891602903037498,,5,
tel aviv,dropped,26,,9.792067229486586,,8,
discuss latest,dropped,27,,9.640064136041534,,4,
baqer qalibaf,dropped,28,,9.640064136041534,,3,
holds phone,dropped,29,,9.640064136041534,,3,
inseparable part,dropped,30,,9.640064136041534,,3,
kamal kharazi,dropped,31,,9.5025606122916,,5,
regarding recent,dropped,32,,9.5025606122916,,4,
martyr imam,dropped,33,,9.417671714705087,,3,
mohammad bagher,dropped,34,,9.377029730207742,,4,
mohammad baqer,dropped,35,,9.377029730207742,,3,
first time,dropped,36,,9.347282386813689,,4,
phone conversation,dropped,37,,9.277494056656828,,7,
kamal kharrazi,dropped,39,,9.239526206457807,,5,
three journalists,dropped,40,,9.225026636762692,,3,
fired lebanon's,dropped,41,,9.154637308871294,,4,
russia china,dropped,42,,9.154637308871294,,4,
mohammad reza,dropped,43,,9.113995324373947,,5,
air raid,dropped,44,,9.05510163532038,,6,
air defenses,dropped,45,,9.05510163532038,,4,
enghelab square,dropped,46,,9.05510163532038,,3,
show support,dropped,47,,9.05510163532038,,3,
jewish community,dropped,48,,9.01713378512136,,5,
occupied palestine,dropped,49,,8.961992230928898,,7,
policy advisor,dropped,50,,8.961992230928898,,3,
bagher ghalibaf,retained,8,3,10.961992230928898,10.892922223630592,3,4
shehbaz sharif,retained,16,10,10.377029730207742,10.57099412874323,4,5
naim qassem,retained,4,13,11.377029730207742,10.307959722909436,3,6
raid sirens,retained,14,14,10.377029730207742,10.307959722909434,5,5
reza aref,retained,22,18,9.961992230928898,9.892922223630592,3,5
year old,retained,23,21,9.961992230928898,9.892922223630592,3,3
guards corps,retained,38,23,9.261552512787805,9.72299722218828,12,7
red crescent,retained,15,26,10.377029730207742,9.72299722218828,5,3
persian gulf,retained,9,43,10.961992230928898,9.281487511548244,3,9
