topic_id,topic_label,message_count,keyword_preview,top_keywords
2,"Topic 2: leader, khamenei, islamic",98,"leader, khamenei, islamic","leader, khamenei, islamic, ayatollah, leader islamic, revolution, islamic revolution, ali, day, seyyed"
16,"Topic 16: israeli, southern, lebanon",58,"israeli, southern, lebanon","israeli, southern, lebanon, southern lebanon, airstrikes, airstrike, israeli airstrikes, beirut, town, israeli airstrike"
11,"Topic 11: talks, islamabad, iran-us",39,"talks, islamabad, iran-us","talks, islamabad, iran-us, talks islamabad, iran, iran-us talks, iranian, delegation, iranian delegation, islamabad talks"
5,"Topic 5: strait, hormuz, strait hormuz",36,"strait, hormuz, strait hormuz","strait, hormuz, strait hormuz, iran, russia, china, control, security, control strait, hormuz iran"
23,"Topic 23: iranian, nation, iranian nation",35,"iranian, nation, iranian nation","iranian, nation, iranian nation, war, american, trump, war crimes, crimes, country, iran"
15,"Topic 15: gaza, israeli, people",35,"gaza, israeli, people","gaza, israeli, people, lebanese, forces, killed, police, israeli forces, city, southern"
7,"Topic 7: irgc, corps, corps irgc",34,"irgc, corps, corps irgc","irgc, corps, corps irgc, revolution guards, guards, guards corps, islamic revolution, revolution, islamic, force"
18,"Topic 18: occupied, palestine, occupied palestine",34,"occupied, palestine, occupied palestine","occupied, palestine, occupied palestine, northern occupied, northern, air, hezbollah, missile, sirens, aviv"
9,"Topic 9: iran, senior, security",31,"iran, senior, security","iran, senior, security, official, regime, maryam, israel, security official, senior security, maryam azarchehr"
25,"Topic 25: trump, war, iran",29,"trump, war, iran","trump, war, iran, donald trump, donald, president, president donald, congress, iran war, office"
26,"Topic 26: war, iran, war iran",29,"war, iran, war iran","war, iran, war iran, military, day, prices, us-israeli war, israel, strategic, air"
17,"Topic 17: minister, prime, prime minister",29,"minister, prime, prime minister","minister, prime, prime minister, netanyahu, israeli, regime, change, regime change, israeli prime, trump"
20,"Topic 20: ceasefire, lebanon, israel",26,"ceasefire, lebanon, israel","ceasefire, lebanon, israel, iran, ceasefire iran, attacks, deal, april, iran-us, included"
21,"Topic 21: strikes, oil, israeli",26,"strikes, oil, israeli","strikes, oil, israeli, lebanon, israeli strikes, iran, attacks, us-israeli, killed, refinery"
22,"Topic 22: aggression, us-israeli, us-israeli aggression",25,"aggression, us-israeli, us-israeli aggression","aggression, us-israeli, us-israeli aggression, iran, aggression iran, crescent, red crescent, red, iranian, units"
14,"Topic 14: islamabad, negotiations, iran",25,"islamabad, negotiations, iran","islamabad, negotiations, iran, talks, united states, states, united, iran-us, pakistan, negotiations iran"
3,"Topic 3: araghchi, abbas araghchi, abbas",24,"araghchi, abbas araghchi, abbas","araghchi, abbas araghchi, abbas, foreign minister, iran, foreign, minister, iran foreign, minister abbas, fm"
6,"Topic 6: blockade, trump, strait",24,"blockade, trump, strait","blockade, trump, strait, hormuz, naval, naval blockade, strait hormuz, blockade strait, iran, donald trump"
1,"Topic 1: pezeshkian, president, iran",23,"pezeshkian, president, iran","pezeshkian, president, iran, president pezeshkian, masoud pezeshkian, president masoud, masoud, ceasefire, pezeshkian iran, iran president"
12,"Topic 12: speaker, parliament, qalibaf",22,"speaker, parliament, qalibaf","speaker, parliament, qalibaf, iran, mohammad, parliament speaker, baqer, mohammad baqer, speaker mohammad, baqer qalibaf"
19,"Topic 19: resistance, hezbollah, lebanon",21,"resistance, hezbollah, lebanon","resistance, hezbollah, lebanon, hezbollah resistance, israeli, resistance movement, operations, movement, retaliatory, fighters"
8,"Topic 8: operation, handala, group",18,"operation, handala, group","operation, handala, group, obtained, major, isfahan, information, recent, pilot rescue, recent operation"
0,"Topic 0: pope, leo, pope leo",18,"pope, leo, pope leo","pope, leo, pope leo, xiv, leo xiv, trump, war, insult, president, stance"
24,"Topic 24: iraq, new, iran",18,"iraq, new, iran","iraq, new, iran, president, nizar, new president, elected, amedi, nizar amedi, iraqi"
13,"Topic 13: united, states, united states",17,"united, states, united states","united, states, united states, iran, ambassador, iran ambassador, strongly, ceasefire, israeli, force"
10,"Topic 10: forces, armed, armed forces",16,"forces, armed, armed forces","forces, armed, armed forces, support, support government, country armed, country, government armed, iran, government"
4,"Topic 4: vice president, vice, president",15,"vice president, vice, president","vice president, vice, president, aref, vance, president mohammad, reza aref, iran, mohammad reza, reza"
-1,Noise / Mixed,140,outlier / mixed,
