topic_id,topic_label,message_count,mean_cluster_probability,mean_message_length,first_seen,last_seen,top_keywords,keyword_preview
2,"Topic 2: leader, khamenei, islamic",98,0.853,176.1,2026-04-07 12:45:14+00:00,2026-04-14 16:26:03+00:00,"leader, khamenei, islamic, ayatollah, leader islamic, revolution, islamic revolution, ali, day, seyyed","leader, khamenei, islamic"
16,"Topic 16: israeli, southern, lebanon",58,0.994,118.2,2026-04-07 20:45:44+00:00,2026-04-14 14:05:02+00:00,"israeli, southern, lebanon, southern lebanon, airstrikes, airstrike, israeli airstrikes, beirut, town, israeli airstrike","israeli, southern, lebanon"
11,"Topic 11: talks, islamabad, iran-us",39,0.718,131.4,2026-04-10 17:42:29+00:00,2026-04-13 09:07:29+00:00,"talks, islamabad, iran-us, talks islamabad, iran, iran-us talks, iranian, delegation, iranian delegation, islamabad talks","talks, islamabad, iran-us"
5,"Topic 5: strait, hormuz, strait hormuz",36,0.774,166.7,2026-04-07 15:45:19+00:00,2026-04-14 12:50:01+00:00,"strait, hormuz, strait hormuz, iran, russia, china, control, security, control strait, hormuz iran","strait, hormuz, strait hormuz"
23,"Topic 23: iranian, nation, iranian nation",35,0.802,174.7,2026-04-07 07:23:56+00:00,2026-04-14 16:30:25+00:00,"iranian, nation, iranian nation, war, american, trump, war crimes, crimes, country, iran","iranian, nation, iranian nation"
15,"Topic 15: gaza, israeli, people",35,0.83,143.6,2026-04-07 09:53:33+00:00,2026-04-14 10:05:01+00:00,"gaza, israeli, people, lebanese, forces, killed, police, israeli forces, city, southern","gaza, israeli, people"
7,"Topic 7: irgc, corps, corps irgc",34,0.661,185.9,2026-04-07 08:48:25+00:00,2026-04-13 22:52:02+00:00,"irgc, corps, corps irgc, revolution guards, guards, guards corps, islamic revolution, revolution, islamic, force","irgc, corps, corps irgc"
18,"Topic 18: occupied, palestine, occupied palestine",34,0.686,120.6,2026-04-07 06:27:59+00:00,2026-04-14 00:35:00+00:00,"occupied, palestine, occupied palestine, northern occupied, northern, air, hezbollah, missile, sirens, aviv","occupied, palestine, occupied palestine"
9,"Topic 9: iran, senior, security",31,0.726,166.2,2026-04-07 12:28:12+00:00,2026-04-12 18:16:46+00:00,"iran, senior, security, official, regime, maryam, israel, security official, senior security, maryam azarchehr","iran, senior, security"
25,"Topic 25: trump, war, iran",29,0.924,190.5,2026-04-07 14:59:01+00:00,2026-04-14 10:05:09+00:00,"trump, war, iran, donald trump, donald, president, president donald, congress, iran war, office","trump, war, iran"
26,"Topic 26: war, iran, war iran",29,0.827,178.9,2026-04-07 06:13:51+00:00,2026-04-14 11:15:01+00:00,"war, iran, war iran, military, day, prices, us-israeli war, israel, strategic, air","war, iran, war iran"
17,"Topic 17: minister, prime, prime minister",29,0.879,173.9,2026-04-07 10:39:13+00:00,2026-04-14 15:59:41+00:00,"minister, prime, prime minister, netanyahu, israeli, regime, change, regime change, israeli prime, trump","minister, prime, prime minister"
20,"Topic 20: ceasefire, lebanon, israel",26,0.873,177.0,2026-04-08 08:50:16+00:00,2026-04-14 06:20:08+00:00,"ceasefire, lebanon, israel, iran, ceasefire iran, attacks, deal, april, iran-us, included","ceasefire, lebanon, israel"
21,"Topic 21: strikes, oil, israeli",26,0.997,170.3,2026-04-07 06:32:01+00:00,2026-04-13 21:12:30+00:00,"strikes, oil, israeli, lebanon, israeli strikes, iran, attacks, us-israeli, killed, refinery","strikes, oil, israeli"
22,"Topic 22: aggression, us-israeli, us-israeli aggression",25,0.874,174.7,2026-04-07 11:20:11+00:00,2026-04-14 11:05:01+00:00,"aggression, us-israeli, us-israeli aggression, iran, aggression iran, crescent, red crescent, red, iranian, units","aggression, us-israeli, us-israeli aggression"
14,"Topic 14: islamabad, negotiations, iran",25,0.95,184.7,2026-04-07 23:19:15+00:00,2026-04-13 23:34:09+00:00,"islamabad, negotiations, iran, talks, united states, states, united, iran-us, pakistan, negotiations iran","islamabad, negotiations, iran"
3,"Topic 3: araghchi, abbas araghchi, abbas",24,0.764,186.2,2026-04-07 23:40:47+00:00,2026-04-14 10:35:04+00:00,"araghchi, abbas araghchi, abbas, foreign minister, iran, foreign, minister, iran foreign, minister abbas, fm","araghchi, abbas araghchi, abbas"
6,"Topic 6: blockade, trump, strait",24,0.973,174.5,2026-04-12 09:45:02+00:00,2026-04-14 16:39:41+00:00,"blockade, trump, strait, hormuz, naval, naval blockade, strait hormuz, blockade strait, iran, donald trump","blockade, trump, strait"
1,"Topic 1: pezeshkian, president, iran",23,0.905,195.6,2026-04-07 12:40:03+00:00,2026-04-13 23:18:46+00:00,"pezeshkian, president, iran, president pezeshkian, masoud pezeshkian, president masoud, masoud, ceasefire, pezeshkian iran, iran president","pezeshkian, president, iran"
12,"Topic 12: speaker, parliament, qalibaf",22,1.0,176.7,2026-04-08 18:30:01+00:00,2026-04-13 02:21:40+00:00,"speaker, parliament, qalibaf, iran, mohammad, parliament speaker, baqer, mohammad baqer, speaker mohammad, baqer qalibaf","speaker, parliament, qalibaf"
19,"Topic 19: resistance, hezbollah, lebanon",21,0.92,187.6,2026-04-07 09:36:01+00:00,2026-04-14 16:19:41+00:00,"resistance, hezbollah, lebanon, hezbollah resistance, israeli, resistance movement, operations, movement, retaliatory, fighters","resistance, hezbollah, lebanon"
8,"Topic 8: operation, handala, group",18,1.0,191.7,2026-04-07 10:44:50+00:00,2026-04-13 20:34:25+00:00,"operation, handala, group, obtained, major, isfahan, information, recent, pilot rescue, recent operation","operation, handala, group"
0,"Topic 0: pope, leo, pope leo",18,0.968,178.8,2026-04-07 19:17:01+00:00,2026-04-14 14:54:41+00:00,"pope, leo, pope leo, xiv, leo xiv, trump, war, insult, president, stance","pope, leo, pope leo"
24,"Topic 24: iraq, new, iran",18,0.945,141.3,2026-04-07 20:05:08+00:00,2026-04-14 14:40:01+00:00,"iraq, new, iran, president, nizar, new president, elected, amedi, nizar amedi, iraqi","iraq, new, iran"
13,"Topic 13: united, states, united states",17,0.993,196.0,2026-04-07 10:42:50+00:00,2026-04-14 13:05:00+00:00,"united, states, united states, iran, ambassador, iran ambassador, strongly, ceasefire, israeli, force","united, states, united states"
10,"Topic 10: forces, armed, armed forces",16,0.995,135.2,2026-04-08 07:45:16+00:00,2026-04-14 04:40:06+00:00,"forces, armed, armed forces, support, support government, country armed, country, government armed, iran, government","forces, armed, armed forces"
4,"Topic 4: vice president, vice, president",15,1.0,175.7,2026-04-08 08:35:16+00:00,2026-04-14 16:59:41+00:00,"vice president, vice, president, aref, vance, president mohammad, reza aref, iran, mohammad reza, reza","vice president, vice, president"
-1,Noise / Mixed,140,0.0,181.4,2026-04-07 09:03:15+00:00,2026-04-14 12:28:17+00:00,,outlier / mixed
